STT,Số ký hiệu,Ngày ban hành,Tên văn bản,link
96.0,03/2007/NĐ-CP,08/01/2007,"Về việc điều chỉnh địa giới hành chính xã; thành lập xã, thị trấn thuộc các huyện Mường La, Thuận Châu và Mộc Châu, tỉnh Sơn La",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=14755&Keyword=03/2007/NĐ-CP
97.0,149/2006/NĐ-CP,11/12/2006,"Về việc điều chỉnh địa giới hành chính xã Phước Long Thọ; thành lập thị trấn Đất Đỏ và thị trấn Phước Hải thuộc huyện Đất Đỏ, tỉnh Bà Rịa - Vũng Tàu",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=14949&Keyword=149/2006/NĐ-CP
98.0,143/2006/NĐ-CP,23/11/2006,"Về việc điều chỉnh địa giới hành chính phường, quận; thành lập phường thuộc quận Gò Vấp, quận 12 và quận Tân Bình, thành phố Hồ Chí Minh",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=14941&Keyword=143/2006/NĐ-CP
99.0,142/2006/NĐ-CP,22/11/2006,"Về việc điều chỉnh địa giới hành chính xã, huyện; thành lập xã thuộc các huyện Đắk R'Lấp, Đắk Song, Đắk Mil và thành lập huyện Tuy Đức thuộc tỉnh Đắk Nông",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=14942&Keyword=142/2006/NĐ-CP
100.0,135/2006/NĐ-CP,14/11/2006,"Về việc điều chỉnh địa giới hành chính xã, huyện; thành lập xã; mở rộng và đổi tên thị trấn Mường Ẳng thuộc huyện Tuần Giáo, huyện Mường Chà; thành lập huyện Mường Ảng, tỉnh Điện Biên",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=14970&Keyword=135/2006/NĐ-CP
101.0,133/2006/NĐ-CP,10/11/2006,"Về việc điều chỉnh địa giới hành chính xã thuộc huyện Lâm Thao, huyện Phù Ninh để mở rộng thành phố Việt Trì, tỉnh Phú Thọ",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=14982&Keyword=133/2006/NĐ-CP
102.0,132/2006/NĐ-CP,10/11/2006,"Về việc điều chỉnh địa giới hành chính xã để mở rộng thị trấn Nam Sách, huyện Nam Sách, tỉnh Hải Dương",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=14983&Keyword=132/2006/NĐ-CP
103.0,125/2006/NĐ-CP,27/10/2006,"Về việc điều chỉnh địa giới hành chính, thành lập xã, thị trấn thuộc các huyện Hà Quảng, Bảo Lâm và Hạ Lang, tỉnh Cao Bằng",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=15049&Keyword=125/2006/NĐ-CP
104.0,124/2006/NĐ-CP,27/10/2006,"Về việc điều chỉnh địa giới hành chính, thành lập xã, thị trấn thuộc thị xã Vị Thanh, huyện Long Mỹ; đổi tên thị xã Tân Hiệp thành thị xã Ngã Bảy, tỉnh Hậu Giang",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=15048&Keyword=124/2006/NĐ-CP
105.0,92/2006/NĐ-CP,07/09/2006,"Về lập, phê duyệt và quản lý quy hoạch tổng thể phát triển kinh tế - xã hội",https://vbpl.vn/TW/Pages/vbpq-toanvan.aspx?ItemID=15330&Keyword=92/2006/NĐ-CP
